release,timestamp,base_or_update,systemd_local_time,local_time,netplan_time
jammy,1679936127,update,2.335,0.849,0.394
jammy,1679937719,update,2.582,0.82,0.394
jammy,1679938094,baseline,1.844,0.33,0.592
jammy,1679938446,baseline,1.902,0.342,0.581
jammy,1679936529,update,2.602,0.741,0.323
jammy,1679936892,baseline,2.236,0.291,0.657
jammy,1679936127,baseline,1.918,0.319,0.614
jammy,1679936892,update,2.495,0.767,0.344
jammy,1679933653,update,2.519,0.745,0.322
jammy,1679938094,update,2.438,0.899,0.366
jammy,1679932008,update,2.539,0.754,0.33
jammy,1679937719,baseline,2.175,0.298,0.539
jammy,1679932008,baseline,2.044,0.333,0.607
jammy,1679938791,update,2.436,0.8,0.36
jammy,1679937292,update,2.61,0.822,0.334
jammy,1679938446,update,2.488,0.717,0.315
jammy,1679937292,baseline,2.179,0.336,0.587
jammy,1679938791,baseline,2.093,0.303,0.634
jammy,1679933653,baseline,1.922,0.319,0.59
jammy,1679936529,baseline,2.12,0.275,0.597
bionic,1679944367,baseline,2.121,0.319,0.553
bionic,1679942295,update,2.467,0.767,0.337
bionic,1679944767,baseline,2.173,0.312,0.492
bionic,1679944767,update,2.523,0.74,0.308
bionic,1679943513,baseline,2.1,0.318,0.329
bionic,1679945186,update,2.549,0.665,0.297
bionic,1679943513,update,2.509,0.717,0.311
bionic,1679942706,update,2.647,0.789,0.327
bionic,1679943119,baseline,2.14,0.297,0.61
bionic,1679932789,baseline,1.948,0.319,0.583
bionic,1679943119,update,2.454,0.757,0.326
bionic,1679945186,baseline,2.061,0.339,0.672
bionic,1679944367,update,2.391,0.751,0.336
bionic,1679943964,update,2.597,0.734,0.31
bionic,1679932789,update,2.539,0.667,0.286
bionic,1679943964,baseline,2.081,0.306,0.582
bionic,1679942706,baseline,2.167,0.303,0.586
bionic,1679934405,baseline,1.963,0.325,0.6
bionic,1679934405,update,2.609,0.795,0.339
bionic,1679942295,baseline,2.042,0.306,0.601
focal,1679939985,update,2.414,0.785,0.345
focal,1679932395,update,2.43,0.957,0.454
focal,1679939203,update,2.604,0.699,0.313
focal,1679932395,baseline,2.177,0.336,0.569
focal,1679933995,baseline,1.979,0.315,0.569
focal,1679939589,update,2.549,0.695,0.292
focal,1679940376,update,2.418,0.77,0.329
focal,1679933995,update,2.42,0.812,0.354
focal,1679941145,update,2.471,0.846,0.415
focal,1679941510,baseline,2.138,0.307,0.567
focal,1679941895,baseline,2.091,0.306,0.592
focal,1679941510,update,2.442,0.714,0.312
focal,1679939985,baseline,2.165,0.326,0.475
focal,1679940746,update,2.497,0.807,0.33
focal,1679939589,baseline,1.809,0.355,0.543
focal,1679940746,baseline,2.009,0.317,0.593
focal,1679941145,baseline,2.059,0.313,0.569
focal,1679941895,update,2.468,0.821,0.384
focal,1679940376,baseline,1.923,0.314,0.549
focal,1679939203,baseline,2.193,0.304,0.546
